City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,28.4,92,75,26.4,heavy snow
1,Cap Malheureux,MU,-19.98,57.61,71.01,77,0,7.0,light rain
2,Punta Arenas,CL,-53.15,-70.92,35.6,43,75,16.11,broken clouds
3,Hermanus,ZA,-34.42,19.23,48.0,79,21,11.59,few clouds
4,Ugoofaaru,MV,5.67,73.0,83.48,70,2,5.48,clear sky
5,Zaysan,KZ,47.47,84.87,61.61,44,0,6.76,clear sky
6,Mallaig,CA,54.22,-111.37,45.54,66,100,21.36,overcast clouds
7,Senanga,ZM,-16.12,23.27,76.1,40,78,5.21,broken clouds
8,Pangody,RU,65.85,74.49,45.18,75,0,8.72,clear sky
9,Aswan,EG,24.09,32.91,95.63,10,0,8.52,clear sky
10,Bongandanga,CD,1.5,21.05,73.15,96,98,1.12,light rain
11,Mar Del Plata,AR,-38.0,-57.56,57.2,28,0,19.46,clear sky
12,Viedma,AR,-40.81,-63.0,57.99,43,0,7.0,clear sky
13,Sulejowek,PL,52.25,21.27,66.0,88,16,9.08,few clouds
14,Bredasdorp,ZA,-34.53,20.04,53.6,58,53,6.93,broken clouds
15,Victoria,HK,22.29,114.16,84.0,79,95,3.0,light rain
16,Inongo,CD,-1.95,18.27,75.16,77,99,5.86,overcast clouds
17,Stepnyak,KZ,52.83,70.78,68.95,44,23,1.9,few clouds
18,Iqaluit,CA,63.75,-68.51,50.0,66,20,3.36,few clouds
19,Kruisfontein,ZA,-34.0,24.73,51.01,73,97,3.0,overcast clouds
20,Jamestown,US,42.1,-79.24,68.0,72,90,8.05,overcast clouds
21,Abnub,EG,27.27,31.15,96.8,25,0,11.41,clear sky
22,Tazovskiy,RU,67.47,78.7,45.19,85,91,7.67,overcast clouds
23,Bousse,BF,12.66,-1.89,83.34,68,79,10.85,broken clouds
24,Port-Gentil,GA,-0.72,8.78,78.8,78,75,16.87,broken clouds
25,Chuy,UY,-33.7,-53.46,52.11,58,97,6.15,overcast clouds
26,Taoudenni,ML,22.68,-3.98,102.83,23,94,9.73,overcast clouds
27,Cape Town,ZA,-33.93,18.42,53.6,50,20,9.17,few clouds
28,Labytnangi,RU,66.66,66.42,48.34,70,100,8.19,overcast clouds
29,Hithadhoo,MV,-0.6,73.08,81.91,76,12,13.62,few clouds
30,San Cristobal,VE,7.77,-72.22,84.2,62,40,11.41,scattered clouds
31,Busselton,AU,-33.65,115.33,42.01,69,0,4.36,clear sky
32,Saint-Philippe,RE,-21.36,55.77,71.6,73,27,9.17,light rain
33,Qaanaaq,GL,77.48,-69.36,34.02,76,0,5.28,clear sky
34,Ancud,CL,-41.87,-73.82,51.01,96,63,5.99,broken clouds
35,Saldanha,ZA,-33.01,17.94,53.6,54,0,6.93,clear sky
36,Dikson,RU,73.51,80.55,41.38,96,100,17.56,light rain
37,Coihaique,CL,-45.58,-72.07,50.0,79,20,6.93,few clouds
38,Tiznit,MA,29.58,-9.5,81.73,34,0,7.31,clear sky
39,Upernavik,GL,72.79,-56.15,42.37,74,26,7.11,scattered clouds
40,Thompson,CA,55.74,-97.86,53.6,93,90,8.05,overcast clouds
41,Longyearbyen,SJ,78.22,15.64,41.0,75,75,16.11,light intensity drizzle
42,Morant Bay,JM,17.88,-76.41,89.6,75,20,10.29,few clouds
43,Conceicao Do Araguaia,BR,-8.26,-49.26,103.71,18,26,7.05,scattered clouds
44,Ribeira Grande,PT,38.52,-28.7,80.6,83,40,11.41,scattered clouds
45,Beloha,MG,-25.17,45.05,77.41,52,56,5.23,broken clouds
46,Conakry,GN,9.54,-13.68,79.11,83,99,17.6,moderate rain
47,Ambovombe,MG,-25.17,46.08,74.82,64,0,6.71,clear sky
48,Georgetown,MY,5.41,100.34,80.6,94,20,4.7,heavy intensity rain
49,Scarborough,GB,54.28,-0.4,55.0,77,54,3.0,broken clouds
50,Gouyave,GD,12.16,-61.73,84.2,83,40,11.41,scattered clouds
51,Bud,US,39.45,-86.18,75.0,56,1,7.61,clear sky
52,Port Elizabeth,ZA,-33.92,25.57,51.8,76,40,12.75,scattered clouds
53,Kovdor,RU,67.57,30.48,49.03,72,90,0.45,overcast clouds
54,Port Alfred,ZA,-33.59,26.89,52.52,67,29,12.46,scattered clouds
55,Salalah,OM,17.02,54.09,78.8,88,90,3.36,overcast clouds
56,Caravelas,BR,-17.71,-39.25,80.58,65,48,10.13,scattered clouds
57,Port Blair,IN,11.67,92.75,82.49,80,79,8.28,moderate rain
58,Balkhash,KZ,46.84,74.98,72.3,36,0,15.82,clear sky
59,Eenhana,NA,-17.47,16.33,89.6,7,1,1.12,clear sky
60,Manjacaze,MZ,-24.71,33.88,66.97,80,82,14.61,broken clouds
61,Khilchipur,IN,24.03,76.57,73.15,92,34,8.72,scattered clouds
62,Guara,BR,-20.43,-47.82,97.34,15,0,3.18,clear sky
63,Cuamba,MZ,-14.8,36.54,78.96,30,0,4.14,clear sky
64,Livingstonia,MW,-10.61,34.11,68.0,46,0,2.95,clear sky
65,Islamkot,PK,24.7,70.18,82.98,77,100,17.72,heavy intensity rain
66,Faya,SA,18.39,42.45,82.4,18,40,14.99,scattered clouds
67,Lebu,CL,-37.62,-73.65,50.04,64,0,21.39,clear sky
68,Rocha,UY,-34.48,-54.33,53.01,52,19,7.27,few clouds
69,Saint-Augustin,CA,51.23,-58.65,61.56,51,58,11.9,broken clouds
70,Ithaki,GR,38.36,20.72,86.0,70,0,11.41,clear sky
71,Umm Kaddadah,SD,13.6,26.69,92.05,33,62,4.54,broken clouds
72,Sao Filipe,CV,14.9,-24.5,79.75,76,44,8.72,scattered clouds
73,Olafsvik,IS,64.89,-23.71,52.79,93,100,24.87,moderate rain
74,Tyup,KG,42.73,78.36,57.42,52,16,5.21,few clouds
75,Sao Joao Da Barra,BR,-21.64,-41.05,86.0,48,20,16.11,few clouds
76,Vardo,NO,70.37,31.11,48.2,93,75,23.04,broken clouds
77,Thessalon,CA,46.25,-83.57,64.4,63,1,4.7,clear sky
78,Kot Addu,PK,30.47,70.97,93.2,59,40,4.7,smoke
79,Cidreira,BR,-30.18,-50.21,58.26,93,100,13.76,light rain
80,East London,ZA,-33.02,27.91,51.8,62,31,10.29,scattered clouds
81,Ambilobe,MG,-13.2,49.05,72.48,80,38,2.42,scattered clouds
82,Benguela,AO,-12.58,13.41,69.8,75,3,7.07,clear sky
83,Inhambane,MZ,-23.86,35.38,72.19,82,77,12.08,broken clouds
84,Bengkulu,ID,-3.8,102.27,77.27,83,99,4.41,light rain
85,Arraial Do Cabo,BR,-22.97,-42.03,89.6,51,0,13.87,clear sky
86,Goderich,CA,43.75,-81.72,70.0,64,47,8.57,scattered clouds
87,Pocone,BR,-16.26,-56.62,107.8,10,0,5.68,clear sky
88,Cabedelo,BR,-6.98,-34.83,84.2,58,20,14.99,few clouds
89,Aljezur,PT,37.32,-8.8,72.0,63,0,1.99,clear sky
90,Husavik,IS,66.04,-17.34,62.6,55,75,24.16,broken clouds
91,Torbay,CA,47.67,-52.73,70.0,100,90,14.99,moderate rain
92,Birjand,IR,32.87,59.22,73.4,13,0,9.17,clear sky
93,Ailigandi,PA,9.23,-78.02,86.16,64,95,2.95,overcast clouds
94,Castro,BR,-24.79,-50.01,80.31,40,0,6.6,clear sky
95,Granollers,ES,41.61,2.29,75.2,57,40,10.29,scattered clouds
96,Tomaszow Mazowiecki,PL,51.53,20.01,66.99,88,40,9.89,light rain
97,Clyde River,CA,70.47,-68.59,50.0,81,75,10.29,broken clouds
98,Khor,RU,47.89,134.95,51.82,88,79,4.14,broken clouds
99,West Bay,KY,19.37,-81.42,90.0,79,20,6.93,few clouds
100,Thaba-Tseka,LS,-29.52,28.61,35.76,63,0,4.21,clear sky
101,Sao Paulo De Olivenca,BR,-3.38,-68.87,85.17,60,97,2.37,overcast clouds
102,Mariental,NA,-24.63,17.97,52.97,39,0,9.95,clear sky
103,Tombouctou,ML,20.0,-3.0,97.63,31,7,9.75,clear sky
104,Kielce,PL,50.87,20.63,82.99,1,50,4.79,scattered clouds
105,Kavaratti,IN,10.57,72.64,82.45,78,56,12.12,broken clouds
106,Ilulissat,GL,69.22,-51.1,46.4,61,5,6.93,clear sky
107,Axim,GH,4.87,-2.24,77.38,77,88,10.94,overcast clouds
108,Nueva Helvecia,UY,-34.3,-57.23,51.01,45,69,4.0,broken clouds
109,Nepa Nagar,IN,21.47,76.4,74.88,90,0,5.37,clear sky
110,Saint-Joseph,RE,-21.37,55.62,69.8,73,14,9.17,light rain
111,Monrovia,LR,6.3,-10.8,78.8,94,75,11.41,light intensity drizzle
112,Maxixe,MZ,-23.86,35.35,71.94,82,79,11.23,broken clouds
113,Nizhniy Ufaley,RU,55.92,59.98,60.98,90,57,4.34,broken clouds
114,Grootfontein,NA,-19.57,18.12,66.2,26,14,6.78,few clouds
115,Yenagoa,NG,4.92,6.26,77.74,86,100,6.29,light rain
116,Sumkino,RU,58.11,68.32,67.24,80,76,7.54,broken clouds
117,Mumford,GH,5.26,-0.76,75.97,83,100,11.5,overcast clouds
118,Bambous Virieux,MU,-20.34,57.76,71.6,83,75,13.87,light intensity shower rain
119,Narsaq,GL,60.92,-46.05,57.2,50,99,2.24,overcast clouds
120,La Rioja,ES,42.25,-2.5,64.4,52,40,6.93,scattered clouds
121,Zaranj,AF,30.97,61.88,86.0,19,0,20.8,clear sky
122,Pangnirtung,CA,66.15,-65.71,46.4,81,20,10.29,few clouds
123,Ponta Delgada,PT,37.73,-25.67,77.0,78,40,11.41,scattered clouds
124,Souillac,MU,-20.52,57.52,71.6,83,75,13.87,light intensity shower rain
125,Antalaha,MG,-14.9,50.28,71.47,87,80,8.1,light rain
126,Lesnoy,RU,57.62,63.08,67.23,73,93,8.63,light rain
127,Rio Verde De Mato Grosso,BR,-18.92,-54.84,103.89,9,0,4.41,clear sky
128,Tessalit,ML,20.2,1.01,93.56,37,61,13.94,broken clouds
129,Grand Gaube,MU,-20.01,57.66,71.01,77,1,7.0,light rain
130,Hofn,IS,64.25,-15.21,53.6,93,90,12.75,mist
131,Sambava,MG,-14.27,50.17,72.99,83,34,11.43,scattered clouds
132,Yozgat,TR,39.58,35.33,71.11,21,0,7.85,clear sky
133,Praia Da Vitoria,PT,38.73,-27.07,82.4,74,40,7.85,scattered clouds
134,Jacmel,HT,18.23,-72.53,93.2,56,40,2.24,scattered clouds
135,Makungu,TZ,-8.73,35.28,64.45,59,4,5.19,clear sky
136,Feijo,BR,-8.16,-70.35,100.74,32,77,1.59,broken clouds
137,Luderitz,NA,-26.65,15.16,58.39,37,90,32.97,overcast clouds
138,Hargeysa,SO,9.56,44.06,76.93,53,77,16.08,broken clouds
139,Marzuq,YE,14.4,46.47,85.26,37,97,7.49,light rain
140,Antofagasta,CL,-23.65,-70.4,57.2,71,90,9.17,overcast clouds
141,Margate,GB,51.38,1.39,62.01,65,97,5.99,overcast clouds
142,America Dourada,BR,-11.46,-41.44,88.77,28,37,11.63,scattered clouds
143,Richards Bay,ZA,-28.78,32.04,58.62,80,100,16.26,light rain
144,Manaus,BR,-3.1,-60.02,84.2,70,75,12.75,broken clouds
145,Hualmay,PE,-11.1,-77.61,65.68,68,94,9.22,overcast clouds
146,Grindavik,IS,63.84,-22.43,53.6,93,90,31.09,light rain
147,Saint George,US,37.1,-113.58,88.0,32,1,3.62,clear sky
148,Narasaraopet,IN,16.25,80.07,83.61,73,15,2.98,few clouds
149,Necochea,AR,-38.55,-58.74,57.0,42,0,13.0,clear sky
150,Mogosani,RO,44.68,25.4,84.0,50,0,4.74,clear sky
151,Rawson,AR,-43.3,-65.1,54.52,42,0,16.58,clear sky
152,Severnyy,RU,50.68,36.55,80.6,30,0,4.47,clear sky
153,Opuwo,NA,-18.06,13.84,70.09,20,1,8.14,clear sky
154,Vila Velha,BR,-20.33,-40.29,81.0,88,40,9.17,scattered clouds
155,Reidsville,US,36.35,-79.66,82.99,51,1,6.93,haze
156,Shakawe,BW,-18.37,21.85,74.39,20,0,6.11,clear sky
157,Ponta Do Sol,PT,32.67,-17.1,77.0,53,20,19.46,few clouds
158,Santa Cecilia,BR,-26.96,-50.43,81.19,36,0,2.73,clear sky
159,Paita,PE,-5.09,-81.11,68.2,69,92,12.77,overcast clouds
160,Belmonte,BR,-15.86,-38.88,78.8,74,40,16.11,scattered clouds
161,Baoro,CF,5.67,15.97,71.46,87,65,2.24,broken clouds
162,Lobito,AO,-12.35,13.55,69.58,78,3,6.06,clear sky
163,Rorvik,NO,64.86,11.24,51.8,71,40,11.41,scattered clouds
164,Klaksvik,FO,62.23,-6.59,51.8,93,95,9.17,overcast clouds
165,Zonguldak,TR,41.25,31.83,69.57,59,0,1.59,clear sky
166,Ngerengere,TZ,-6.75,38.12,80.6,51,20,9.17,few clouds
167,Maceio,BR,-9.67,-35.74,82.4,58,75,6.93,broken clouds
168,Alvand,IR,36.32,49.17,54.03,91,3,6.6,clear sky
169,San Isidro,PE,-12.12,-77.05,62.6,82,90,3.36,overcast clouds
170,Kulhudhuffushi,MV,6.62,73.07,83.59,73,44,8.43,scattered clouds
171,Moramanga,MG,-18.93,48.2,56.59,96,38,2.17,scattered clouds
172,Kutum,SD,14.2,24.67,80.92,50,48,4.25,scattered clouds
173,Mahebourg,MU,-20.41,57.7,71.6,83,75,13.87,light intensity shower rain
174,Nantucket,US,41.28,-70.1,75.2,53,1,21.92,clear sky
175,Maldonado,UY,-34.67,-54.92,50.0,57,75,9.17,broken clouds
176,Mongoumba,CF,3.64,18.59,72.82,88,97,0.51,overcast clouds
177,Sept-Iles,CA,50.2,-66.38,50.0,93,90,10.29,light rain
178,Soyo,AO,-6.13,12.37,72.52,81,51,9.51,broken clouds
179,Aksu,CN,41.12,80.26,74.79,34,42,4.76,scattered clouds
180,Bull Savanna,JM,17.89,-77.59,84.38,70,14,6.08,light rain
181,Geraldton,AU,-28.77,114.6,44.6,87,0,4.7,clear sky
182,Bonfim,BR,3.08,-59.95,84.97,67,100,7.07,light rain
183,Tamboril,DO,19.49,-70.61,89.6,62,40,9.17,scattered clouds
184,San Andres,CO,12.58,-81.7,87.8,74,20,10.29,few clouds
185,Bereznik,RU,62.86,42.71,50.22,92,70,4.07,broken clouds
186,El Alto,PE,-4.27,-81.21,67.98,72,75,13.38,broken clouds
187,Codrington,AU,-38.27,141.97,47.57,70,57,13.0,broken clouds
188,Hammerfest,NO,70.66,23.68,48.2,66,40,19.46,scattered clouds
189,Brumadinho,BR,-20.14,-44.2,87.8,27,20,4.7,few clouds
190,Taltal,CL,-25.4,-70.48,60.03,61,35,5.57,scattered clouds
191,Khanino,RU,54.21,36.62,75.2,64,0,6.71,clear sky
192,Naryan-Mar,RU,67.67,53.09,50.04,96,100,10.11,light rain
193,Meyzieu,FR,45.77,5.0,68.0,45,85,11.41,light rain
194,Quthing,LS,-30.4,27.7,40.84,54,0,2.42,clear sky
195,Podor,MR,16.65,-14.96,98.6,47,42,2.24,scattered clouds
196,Kabelvag,NO,68.21,14.48,48.2,66,40,6.93,shower rain
197,Filingue,NE,14.35,3.32,89.02,48,100,0.69,overcast clouds
198,Jalu,LY,29.03,21.55,94.48,16,0,9.53,clear sky
199,Ouesso,CG,1.61,16.05,75.99,80,92,1.83,overcast clouds
200,Beremend,HU,45.79,18.43,91.4,40,41,6.93,scattered clouds
201,Stephanskirchen,DE,47.86,12.15,57.99,77,94,1.99,overcast clouds
202,Zhezkazgan,KZ,47.8,67.71,71.6,28,0,11.18,clear sky
203,Altamira,BR,-3.2,-52.21,89.6,59,75,6.93,broken clouds
204,Los Llanos De Aridane,ES,28.66,-17.92,73.4,73,75,12.75,broken clouds
205,Calvinia,ZA,-31.47,19.78,42.71,61,0,5.7,clear sky
206,Gao,ML,16.64,1.64,89.08,47,94,4.81,overcast clouds
207,Bereda,ES,43.27,-7.54,64.0,57,13,14.0,few clouds
208,Belyy Yar,RU,53.6,91.39,53.6,93,28,2.06,light rain
209,Yar-Sale,RU,66.83,70.83,39.4,88,38,8.23,scattered clouds
210,Sharjah,AE,25.36,55.4,102.2,27,18,2.24,few clouds
211,Khandbari,NP,27.37,87.2,74.01,75,64,1.19,light rain
212,Raudeberg,NO,61.99,5.14,57.2,58,0,17.22,clear sky
213,San Miguel,SV,13.48,-88.18,87.8,74,4,2.89,clear sky
214,Saint Anthony,US,45.02,-93.22,75.0,53,1,11.41,clear sky
215,Sorland,NO,67.67,12.69,48.2,66,40,8.05,scattered clouds
216,Walvis Bay,NA,-22.96,14.51,73.4,23,0,20.8,sand
217,Rio Do Sul,BR,-27.21,-49.64,82.99,72,0,5.99,clear sky
218,Buraydah,SA,26.33,43.98,100.4,16,0,11.41,clear sky
219,Chlorakas,CY,34.8,32.41,86.0,55,0,11.41,clear sky
220,Brae,GB,60.4,-1.35,55.4,66,40,10.29,scattered clouds
221,Bandarbeyla,SO,9.49,50.81,77.13,80,93,31.07,overcast clouds
222,Valparaiso,CL,-33.04,-71.63,60.8,55,0,9.17,clear sky
223,Porto Velho,BR,-8.76,-63.9,91.4,52,40,4.7,scattered clouds
224,Malpe,IN,13.35,74.72,80.6,83,40,3.71,scattered clouds
225,Am Timan,TD,11.03,20.28,72.84,93,94,5.41,light rain
226,Santa Fe,AR,-31.63,-60.7,63.0,29,3,3.0,clear sky
227,Ratnagiri,IN,16.98,73.3,79.39,85,100,3.87,light rain
228,Novosokolniki,RU,56.35,30.16,54.97,96,100,5.1,moderate rain
229,Karauli,IN,26.5,77.02,77.68,85,3,17.67,clear sky
230,Vallenar,CL,-28.57,-70.76,71.89,21,47,6.58,scattered clouds
231,Jumla,NP,29.27,82.18,62.01,70,50,0.22,scattered clouds
232,Znamenskoye,RU,57.13,73.83,64.24,94,35,3.89,scattered clouds
233,Charagua,BO,-19.8,-63.22,78.48,42,76,10.58,broken clouds
234,Sao Felix Do Xingu,BR,-6.64,-51.99,103.37,18,0,5.23,clear sky
235,Fomboni,KM,-12.28,43.74,76.98,67,0,4.76,clear sky
236,Hambantota,LK,6.12,81.12,81.46,77,100,16.67,overcast clouds
237,Nuuk,GL,64.18,-51.72,59.0,47,5,3.36,clear sky
238,Cayenne,GF,4.93,-52.33,89.6,62,75,11.41,broken clouds
239,Gedo,ET,9.02,37.45,53.28,100,100,1.1,moderate rain
240,Gosainganj,IN,26.58,82.38,83.1,71,1,3.2,clear sky
241,Coquimbo,CL,-29.95,-71.34,57.2,67,0,11.41,clear sky
242,Arkhangelskoye,RU,55.85,35.33,64.51,95,83,3.09,broken clouds
243,Kinkala,CG,-4.36,14.76,86.0,51,20,10.29,few clouds
244,Rafaela,AR,-31.25,-61.49,60.01,34,1,4.0,clear sky
245,Venice,US,27.1,-82.45,90.0,70,40,11.41,scattered clouds
246,Tatawin,TN,32.93,10.45,109.4,8,0,2.24,clear sky
247,Tasiilaq,GL,65.61,-37.64,44.6,70,100,2.24,overcast clouds
248,Lokosovo,RU,61.13,74.82,59.86,87,100,5.5,light rain
249,Kalabo,ZM,-14.97,22.68,75.43,42,45,2.93,scattered clouds
250,Humaita,BR,-7.51,-63.02,103.89,26,9,3.15,clear sky
251,Barcelos,PT,41.54,-8.62,75.99,64,0,13.87,clear sky
252,Meulaboh,ID,4.14,96.13,78.12,86,100,2.26,moderate rain
253,Tibati,CM,6.47,12.63,71.06,91,91,1.45,moderate rain
254,Lubawa,PL,53.5,19.75,68.0,63,92,7.4,overcast clouds
255,Kochki,RU,54.34,80.48,58.14,90,8,4.16,clear sky
256,Pinega,RU,64.7,43.39,51.3,93,100,6.96,overcast clouds
257,Bell Ville,AR,-32.63,-62.69,63.0,19,0,3.0,clear sky
258,Lasa,IT,46.62,10.7,57.99,81,75,2.04,broken clouds
259,Coari,BR,-4.08,-63.14,96.96,39,61,2.08,light rain
260,Cotonou,BJ,6.37,2.42,77.81,78,100,14.65,overcast clouds
261,Sisimiut,GL,66.94,-53.67,55.74,56,12,10.16,few clouds
262,Vila Franca Do Campo,PT,37.72,-25.43,77.0,78,40,11.41,scattered clouds
263,Novyy Urengoy,RU,66.08,76.63,44.49,77,0,5.06,clear sky
264,Khash,IR,28.22,61.22,70.93,21,0,11.45,clear sky
265,Chiredzi,ZW,-21.05,31.67,75.88,58,18,7.09,few clouds
266,Ziri,SI,46.04,14.11,71.01,92,64,7.09,light rain
267,Faridkot,IN,30.67,74.75,83.7,72,4,9.33,clear sky
268,Awbari,LY,26.59,12.78,101.03,10,0,10.8,clear sky
269,Opalenica,PL,52.31,16.41,64.99,88,100,5.82,moderate rain
270,Piacabucu,BR,-10.41,-36.43,80.44,67,7,11.27,clear sky
271,Brora,GB,58.01,-3.85,59.0,62,94,5.82,overcast clouds
272,Kafue,ZM,-15.77,28.18,78.04,22,4,6.15,clear sky
273,Mangan,IN,27.52,88.53,76.33,59,98,1.1,overcast clouds
274,Dwarka,IN,22.24,68.97,81.91,83,100,19.42,moderate rain
275,Timbiqui,CO,2.77,-77.67,81.28,74,91,4.21,overcast clouds
276,Konevo,RU,62.12,39.32,47.64,92,43,2.62,scattered clouds
277,Quatre Cocos,MU,-20.21,57.76,71.6,83,75,13.87,light intensity shower rain
278,Atasu,KZ,48.68,71.64,70.05,38,0,14.94,clear sky
279,Turukhansk,RU,65.82,87.98,52.86,95,85,5.14,overcast clouds
280,Mehamn,NO,71.04,27.85,50.0,61,40,11.41,scattered clouds
281,Vestmannaeyjar,IS,63.44,-20.27,51.8,100,90,26.4,mist
282,Los Aquijes,PE,-14.1,-75.69,62.6,82,90,6.93,overcast clouds
283,Edelira,PY,-26.75,-55.27,79.03,60,68,6.46,broken clouds
284,Sabya,SA,17.15,42.63,91.4,66,40,6.93,scattered clouds
285,Colonia,DE,50.93,6.95,70.0,52,20,10.29,few clouds
286,Lagoa,PT,39.05,-27.98,75.09,93,31,12.1,scattered clouds
287,Bhachau,IN,23.28,70.35,79.39,88,100,12.3,moderate rain
288,Tramandai,BR,-29.98,-50.13,59.05,93,96,12.77,light rain
289,Reconquista,AR,-29.15,-59.65,54.79,61,96,12.17,overcast clouds
290,Santa Maria,BR,-29.68,-53.81,51.8,93,90,9.17,overcast clouds
291,Ushtobe,KZ,45.25,77.98,69.3,26,0,11.3,clear sky
292,Keta,GH,5.92,0.99,78.84,71,99,15.61,overcast clouds
293,Tshikapa,CD,-6.42,20.8,84.78,51,51,1.83,broken clouds
294,Mitsamiouli,KM,-11.38,43.28,77.0,61,20,4.7,few clouds
295,Touros,BR,-5.2,-35.46,84.2,58,40,16.11,scattered clouds
296,Bosaso,SO,11.28,49.18,93.29,43,94,5.26,overcast clouds
297,Garango,BF,11.8,-0.55,82.6,72,89,7.54,light rain
298,Podgorica,ME,42.44,19.26,86.0,42,0,5.82,clear sky
299,Gayny,RU,60.31,54.32,55.58,93,48,8.7,scattered clouds
300,Anloga,GH,5.79,0.9,77.14,78,99,16.2,overcast clouds
301,Villazon,BO,-22.09,-65.59,66.52,26,55,16.78,broken clouds
302,Araguari,BR,-18.65,-48.19,84.2,25,10,11.41,clear sky
303,Poli,TZ,-3.33,36.8,78.8,52,20,11.41,few clouds
304,Aquiraz,BR,-3.9,-38.39,87.8,52,20,26.4,few clouds
305,Mwinilunga,ZM,-11.74,24.43,73.13,49,60,4.74,broken clouds
306,Hollola,FI,61.05,25.43,55.0,97,100,1.99,light rain
307,Nanortalik,GL,60.14,-45.24,48.15,75,100,8.9,overcast clouds
308,Zabol,AF,32.25,67.25,71.89,20,0,9.62,clear sky
309,Ekibastuz,KZ,51.67,75.37,71.38,44,0,7.11,clear sky
310,Palafrugell,ES,41.92,3.16,73.99,82,75,4.7,thunderstorm
311,Harper,LR,4.38,-7.72,76.86,80,87,13.29,overcast clouds
312,Iki-Burul,RU,45.82,44.65,77.0,27,0,8.95,clear sky
313,Channel-Port Aux Basques,CA,47.57,-59.14,60.75,84,41,19.04,scattered clouds
314,Sabha,LY,27.04,14.43,98.89,12,0,6.46,clear sky
315,Maragogi,BR,-9.01,-35.22,79.86,68,4,10.2,clear sky
316,Bambui,BR,-20.01,-45.98,87.78,26,17,7.02,few clouds
317,Pathanamthitta,IN,9.27,76.78,77.0,87,37,2.17,scattered clouds
318,Idar-Oberstein,DE,49.7,7.3,66.0,63,40,5.82,light rain
319,Araouane,ML,18.9,-3.53,95.81,35,43,9.19,scattered clouds
320,Kudahuvadhoo,MV,2.67,72.89,84.31,64,54,4.09,broken clouds
321,Lima,PE,-12.04,-77.03,62.6,82,90,3.36,overcast clouds
322,Namibe,AO,-15.2,12.15,65.84,65,0,10.6,clear sky
323,Mantua,IT,45.17,10.78,77.0,53,27,5.99,scattered clouds
324,Itarema,BR,-2.92,-39.92,87.53,53,47,22.15,scattered clouds
325,Kolo,PL,52.2,18.64,63.0,97,92,9.86,heavy intensity rain
326,Jijiga,ET,9.35,42.8,66.83,72,67,11.32,moderate rain
327,Busayra,JO,30.74,35.61,76.77,57,0,4.09,clear sky
328,Naliya,IN,23.27,68.83,82.08,81,100,14.09,overcast clouds
329,Sur,OM,22.57,59.53,86.13,62,65,10.16,broken clouds
330,Sao Jose De Ribamar,BR,-2.56,-44.05,91.4,49,40,11.41,scattered clouds
331,Banda Aceh,ID,5.56,95.32,80.44,79,99,9.78,overcast clouds
332,Kupino,RU,54.37,77.3,62.51,64,2,4.94,clear sky
333,Rodez,FR,44.5,2.58,62.01,82,20,9.17,few clouds
334,High Rock,BS,26.62,-78.28,87.8,79,75,4.7,broken clouds
